Descripcion,Ubicacion,Colonia,Zona,USD/MX,Precio,Numero_m2,M2,Numero,Banos/Estacionamiento
"Oficina / consultorio en Costa Azul en Acapulco. 63 m2. planta baja. 2 cubiculos. 1. 5 baños. aire acondicionado. a 1 cuadra de Costera. Incluye agua y mantenimiento. Oficina con derecho a uso de la alberca del condominio. 10, 000 mensual. EasyBroker id: eb-ir2335"," Fraccionamiento Costa Azul, Acapulco de Juárez",Horacio Nelson,Dorada,MN,10000,63,m²,1,baño
"Excelente ubicación, edificio corporativo, cuenta con elevadores, recepción a la entrada, baños entre pisos, guardia en la entrada. "," Roma Norte, Cuauhtémoc",,,MN,33440,152,m²,,
"Oficina de 152 m2, edificio para oficinas, cuenta con elevadores, recepción a la entrada, baños entre pisos, guardia en la entrada. Excelente ubicación. "," Roma Norte, Cuauhtémoc",,,MN,33440,152,m²,,
"Renta de oficinas de diferentes medidas y precios, en Edificio muy bien ubicado en Costera Miguel Alemán, junto a notarias, bancos, etc. Con elevador y seguridad. Se renta un piso completo con 253. 61 mtrs2 (4) "," Acapulco de Juárez, Guerrero",,,MN,58400,254,m²,1,baño
"Renta de oficinas de diferentes medidas y precios, en Edificio muy bien ubicado en Costera Miguel Alemán, junto a notarias, bancos, etc. Con elevador y seguridad. Precios desde $7, 200. 00 con 36. 47 mtrs (4) "," Acapulco de Juárez, Guerrero",,,MN,7200,1,baño,,
"Piso 4 y 5 en renta. Edificio frente a walmart Icacos, en Av costera Miguel Aleman. Ideal para bufet de abogados, notarias o dependencias de gobierno. Cuenta con estacionamiento subterráneo y elevador. Características: Piso #4. 5 despachos. Zona de usos múltiples. Baños. Bodega. Cocina. Dimenciones: 487. 88m2. Precio de Renta: $200 m2 = $97, 576. 00. Piso #3. 8 despachos pequeños. Baños. Zona de usos múltiples. Dimenciones: 414. 08 m2. Precio de Renta: $200m2 = $82, 816. 00"," Icacos, Acapulco de Juárez",,Dorada,MN,82816,487,m²,1,baño
"Piso 4 y 5 en renta. Edificio frente a walmart Icacos, en Av costera Miguel Alemen. Ideal para bufet de abogados, notarias o dependencias de gobierno. Cuenta con estacionamiento subterráneo y elevador. Características: Piso #4. 5 despachos. Zona de usos múltiples. Baños. Bodega. Cocina. Dimenciones: 487. 88m2. Precio de Renta: $200 m2 = $97, 576. 00. Piso #3. 8 despachos pequeños. Baños. Zona de usos múltiples. Dimenciones: 414. 08 m2. Precio de Renta: $200m2 = $82, 816. 00"," Icacos, Acapulco de Juárez",,Dorada,MN,82816,488,m²,2,estac.
"Ofrezco en renta anual, Oficinas de 12 m2. Amuebladas. Aire acondicionado. Sala de espera de uso comun. Baños para Damas y Caballeros de uso común. Sala de juntas. Ubicacion: Fraccionamiento Costa Azul. A 100 metros de la costera Miguel Alemán a la altura de del edificio Oceanic 2000. Incluido: Suministro agua potable. Luz aparte. Contrato anual. "," Fraccionamiento Costa Azul, Acapulco de Juárez",Horacio Nelson,Dorada,MN,7500,1000,m²,1,rec.
"Oficina de 138 metros cuadrados, ubicado en Roma Norte, edificio corporativo, cuenta con elevadores, recepción a la entrada, baños entre pisos, guardia en la entrada, excelente ubicación. "," Roma Norte, Cuauhtémoc",,,MN,30360,138,m²,,
"Edificio corporativo, oficina disponible de 162 m2, cuenta con elevadores, baños entre pisos, seguridad 24 horas, recepción en la entrada, ubicado en la colonia Roma Norte. "," Roma Norte, Cuauhtémoc",,,MN,35640,162,m²,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
