Title,Image,totalphotos,Label,detail,mn,headerdetail,headerdetail1,Price,View
"Oficinas con una excelente ubicación en el Fracc. Costa Azul, a una cuadra de la Costera, Plaza que cuenta con vigilancia las 24 horas, estacionamientos, elevador. 45 mtrs2 $9,000.00 más iva, incluye mantenimiento. 50 mtrs2 $10,500.00 más iva, incluye mantenimiento.","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",44593,2 meses en Propiedades.com,"
CRISTOBAL COLON	","
Actualizada el 17/03/2022	","

1	","

45	","
$ 9 mil MN	","
Ver propiedad
"
"60 m2 de Local en renta planta alta, divido en 3 espacios ideales para oficina o consultorio con 1 baño, 1 bodega. Estátus jurídico: Libre de gravamen.","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",44652,2 meses en Propiedades.com,"
NIÑOS HEROES ESQUINA CALLE DURANGO	","
Actualizada el 17/03/2022	","

1	","

60	","
$ 4.5 mil MN	","
Ver propiedad
"
"CAD Pabellón Costera Oficina 26, 51 m², dos niveles. Ubicado en el segundo nivel de la plaza comercial. Renta mensual incluyendo mantenimiento e IVA $13,500 Pabellón Costera, es una de las plazas de bienes de consumo más importantes en esta zona de Acapulco Dorado, rodeada de condominios y fraccionamientos para clientes locales y turismo. Pabellón Costera cuenta con locatarios tales como Tacos´ Tumbras, Helados Santa Clara, GNC, Dormimundo, Ruben´s Hamburguesas, varios médicos de prestigio y muchos más.","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",44866,2 años en Propiedades.com,"
Costera Miguel Alemán #3124	","
Actualizada el 17/03/2022	","

1	","

51	","
$ 13.5 mil MN	","
Ver propiedad
"
"OFICINAS PARTE ALTA Área de: 122.37m2 * 7.03m fondo x 16.18m de ancho, más baño 8.62m * Piso loseta * Instalación eléctrica bifásica. * Instalación Hidráulica a pie de calle. * Clima, 4 Aires acondicionados instalados y funcionando RENTA MENSUAL $20,000.00 (VEINTE MIL PESOS 00/100 M.N.)MAS IVA CONTACTO: 7444084299","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",44621,4 meses en Propiedades.com,"
Vasco Núñez de Balboa #11	","
Actualizada el 17/03/2022	","

1	","

122	","
$ 20 mil MN	","
Ver propiedad
"
"LOCAL PARA OFICINAS O CONSULTORIO 122 M2, RENTA $17,980.00 MUY CERCA DE LA SECRETARÍA DE SALUD Calle Miguel López de Legazpi, Col. Hornos, C.P. 39355 OFICINA PLANTA ALTA, Primer nivel. Área de: ? Piso ? Instalación eléctrica bifásica. ? Instalación Hidráulica a pie de calle. ? Tres cubículos, Dos baños ? Dos Aires Acondicionados ? Uso de suelo (HM 4/35) ZONA HABITACIONAL MIXTO; apto para la mezcla de usos, en corredores urbanos con comercios y servicios al frente del predio y al fondo o en pisos superiores el uso habitacional *Nota. Los AA no generan cargo de renta, por lo que el servicio de mantenimiento corre por cuenta del arrendatario. $ 15,500.00 (Quince mil quinientos pesos 00/100 m.n.) más IVA CITA E INFORMES WHATSAPP","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",44835,5 meses en Propiedades.com,"
LEGAZPI	","
Actualizada el 17/03/2022	","

2	","

122	","
$ 17.9 mil MN	","
Ver propiedad
"
"Excelentes oficinas en renta, en reconocida Plaza Comercial, con una ubicación priviligiada sobre la Costera Miguel Alemán, a unos metros de la Playa y hoteles, gran movimiento vehicular y de personas. Oficina 50 mtrs2 13,000.00 mensuales Oficina 70 mts2 15,000.00 mensuales Oficina 200 mtrs2 50,000.00 mensuales.","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",42736,7 meses en Propiedades.com,"
sn	","
Actualizada el 17/03/2022	","

1	","

50	","
$ 13 mil MN	","
Ver propiedad
"
"En RENTA Local Comercial Ubicado en Costa Azul a una cuadra de la Costera Ideal para Consultorios , Oficinas , Pasteleria o Tienda de RopaLocalizado en Planta BajaSuperficie 63 m22 oficinas con 1 baño y medioAire AcondicionadoRenta mensual 12,000.00 pesos. ID: EB-JA2072","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",44743,4 meses en Propiedades.com,"
Costa Azul	","
Actualizada el 17/03/2022	","

1	","

63	","
$ 12 mil MN	","
Ver propiedad
"
"LOCAL PARA OFICINAS O CONSULTORIOS DE 344 M2 $43,000.00 UBICACIÓN: CALLE QUEBRADA CENTRO DESCRIPCIÓN: LOCAL PARA OFICINAS O CONSULTORIOS EN PRIMER PISO CON BAÑO. -PISO CERÁMICO DE TRÁFICO PESADO -USO DE SUELO MIXTO CONTRATO POR AÑO, PRECIO MAS IVA. NOTA: recién remodelado. REQUISITOS DE ARRENDATARIO PERSONA FÍSICA:* IDENTIFICACIÓN CON FOTOGRAFÍA (IFE) * COMPROBANTE DE DOMICILIO *COPIA DEL REGISTRÓ FEDERAL DE CONTRIBUYENTES *DOS DEPOSITOS EN GARANTIA EQUIVALENTE A DOS PAGOS DE UN MES DE RENTA *UN DEPÓSITO EN GARANTIA EQUIVALENTE A UN PAGO DE UNA RENTA PAGADA POR ANTICIPADO *UN MES DE RENTA CORRIENTE *PARA EFECTOS DE FIRMA DE CONTRATO SE DEBE REALIZAR EN PRESENCIA DE LOS INTERESADOS (ARRENDADOR Y ARRENDATARIO) FIRMANDO E IMPRIMIENDO LA HUELLA. • DECLARACION ANUAL DEL AÑO ANTERIOR. • PAGO DE LICENCIA DE FUNCIONAMIENTO. (DENTRO DE LOS PRIMEROS 3 MESES DE APERTURA DEL NEGOCIO) • NO ANTECEDENTES PENALES. • OBLIGADO SOLIDARIO (AVAL COPIA DE IFE Y COMPROBANTE DE DOMICILIO) PERSONA MORAL: *COPIA CERTIFICADA DE ACTA CONSTITUTIVA *COPIA CERTIFICADA DE PODER NOTARIAL (VIGENTE) *IDENTIFICACION DE LOS REPRESENTANTES LEGALES (IFE) *COPIA DE LA CONSTANCIA DE SITUACION FISCAL (REGISTRO FEDERAL DE CONTRIBUYENTE) ACTUALIZADA. *CONTRATO DE UN AÑO *DOS DEPOSITOS EN GARANTIA EQUIVALENTE A DOS PAGOS DE UN MES DE RENTA (SIN IVA). POR POSIBLES DAÑOS *UNA RENTA PAGADA POR ANTICIPADO MÁS IVA. COMO GARANTÍA POR ALGÚN ATRASO *UN MES DE RENTA CORRIENTE *PARA EFECTOS DE FIRMA DE CONTRATO SE DEBE REALIZAR EN PRESENCIA DE LOS INTERESADOS (ARRENDADOR Y ARRENDATARIO) FIRMANDO E IMPRIMIENDO LA HUELLA. *3 REFERENCIAS COMERCIALES. * PÓLIZA DE RESPONSABILIDAD CIVIL CON COBERTURA DE ARRENDATARIO COBERTURA MÍNIMA DE 2 MILLONES DE PESOS • DECLARACION ANUAL DEL AÑO ANTERIOR. • PAGO DE LICENCIA DE FUNCIONAMIENTO. (DENTRO LOS PRIMEROS 3 MESES DE APERTURA DEL NEGOCIO) • NO ANTECEDENTES PENALES. • OBLIGADO SOLIDARIO (AVAL COPIA DE IFE Y COMPROBANTE DE DOMICILIO) Estátus jurídico: Libre de gravamen.","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",44713,11 meses en Propiedades.com,"
QUEBRADA	","
Actualizada el 17/03/2022	","

1	","

344	","
$ 43 mil MN	","
Ver propiedad
"
"AMPLIA OFICINA CERCA DE LA COSTERA. 4 PRIVADOS CON BAÑO, MEDIO BAÑO EN RECEPCIÓN, RECEPCIÓN, AIRE ACONDICIONADO EN CADA PRIVADO Y EN EL ÁREA COMÚN. COCINA Y ESPACIO DE COMEDOR PARA EMPLEADOS. EXCELENTE UBICACIÓN. OFICINA DISCRETA Y MUY FUNCIONAL. ID: EB-JD7776","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",47119,3 meses en Propiedades.com,"
Condesa	","
Actualizada el 17/03/2022	","

5	","

180	","
$ 28 mil MN	","
Ver propiedad
"
"CAD Torre Latina - Oficina piso 6. Vistas al campo de golf y a la bahía de Santa Lucía con 5 cajones de estacionamiento Las áreas privativas son: Superficie de oficina 236.81 m² Superficie de áreas comunes 16.50 m² Superficie total 253.31 m² Precio de la renta mensual $54,466 (Este importe considera todo el piso, existe la posibilidad de renta por módulos) Costo por metro cuadrado $230 Se incluye renta y cuotas de mantenimiento (más el IVA correspondiente) Torre Latina, Edificio comercial de 12 niveles, con varias opciones de espacios para las diferentes necesidades, ubicada en el corazón financiero de Acapulco, con vistas a la bahía de Santa Lucía, y al Campo de Golf de Acapulco, con una superficie total de construcción de 2,956 m². Servicios: Vigilancia Elevador panorámico Estacionamientos con acceso por medio de elevador","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",42736,2 años en Propiedades.com,"
Av. Costera Miguel Alemán 2611 #TORRE LATINA	","
Actualizada el 17/03/2022	","

","

236	","
$ 54.4 mil MN	","
Ver propiedad
"
"Wiggot: poxLV8z RENTA DE OFICINAS El Edificio cuenta con planta baja y 4 pisos, los cuales tienen por lo menos 3 oficinas por piso, se pueden rentar por piso, Oficinas privadas o Espacio individual. Este se encuentra ubicado en la calle Antón De Alaminos, a media cuadra de la costera Miguel Alemán, en la colonia Costa Azul, del municipio de Acapulco, Guerrero, muy cerca de escuelas, bancos, tiendas de auto servicio, hoteles, restaurantes, viviendas, etc. Disponibles: Piso 2 -140 m2 -5 privados -3 baños -Sala de espera -Cocina Piso 3 y 4 -140m2 Cuenta con 3 oficinas y area para sala de Juntas, el area central que se puede dividir con mamparas de acuerdo a las necesidades de quien lo rente, cuenta con un balcón bastante amplio.","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",44562,9 meses en Propiedades.com,"
Anton de Alaminos	","
Actualizada el 16/03/2022	","

3	","

140	","
$ 8.5 mil MN	","
Ver propiedad
"
"OFICINAS EN RENTA $ 8,120.00 Ubicado en Calle Andrés de Urdaneta, Col. Hornos C.P.39355 Área de: 162M2 en tercer nivel (no elevador) ? 3 Recámaras o cubículos ? 2 baños completos ? Cocina ? Sala ? Terraza ? Estacionamiento para un carro ? 13.36 ancho x 10.36m de fondo mas terraza de *4.54m2 ? Piso loseta ? Instalación eléctrica bifásica. ? Instalación Hidráulica a pie de calle. Precio de renta mensual $ 8,120.00 iva incluido. Contrato por año. Se pide dos depósitos con Fianza y mes de renta y mes de renta por adelantado. * a reserva de disponibilidad. informes y citas por Whatsapp.","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",41275,5 meses en Propiedades.com,"
URDANETA	","
Actualizada el 17/03/2022	","

2	","

163	","
$ 8.1 mil MN	","
Ver propiedad
"
"Renta de oficinas de diferentes medidas y precios, en Edificio muy bien ubicado en Costera Miguel Alemán, junto a notarias, bancos, etc. con elevador y seguridad. precios desde $7,200.00 con 36.47 mtrs","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",43101,6 meses en Propiedades.com,"
Costera Miguel Aleman	","
Actualizada el 17/03/2022	","

1	","

36	","
$ 7.2 mil MN	","
Ver propiedad
"
"Renta de oficinas de diferentes medidas y precios, en Edificio muy bien ubicado en Costera Miguel Alemán, junto a notarias, bancos, etc. con elevador y seguridad. precios desde: $7,200.00 con 36.47 mtrs2. $16,550.00 con 84.73 mtrs2.","data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",43466,6 meses en Propiedades.com,"
Costera Miguel Aleman	","
Actualizada el 17/03/2022	","

1	","

84	","
$ 16.5 mil MN	","
Ver propiedad
"
"Renta de oficinas de diferentes medidas y precios, en Edificio muy bien ubicado en Costera Miguel Alemán, junto a notarias, bancos, etc. con elevador y seguridad. Se renta un piso completo con 253.61 mtrs2",,44562,"
            6 meses en Propiedades.com
            ","
                        Costera Miguel Aleman
                      ",Actualizada el 17/03/2022,"
                      
                          
                               1
                          
                      
                    ","
                        
                            
                                253
                            
                        
                    ","
                          $ 49.5 mil MN
                        ","
                    Ver propiedad
                  "
"En RENTA Local Comercial Ubicado en Costa Azul a una cuadra de la Costera Ideal para Consultorios , Oficinas , Pasteleria o Tienda de RopaLocalizado en Planta BajaSuperficie 63 m22 oficinas con 1 baño y medioAire Acondic...",,44743,"
            5 meses en Propiedades.com
            ","
                        sn
                      ",Actualizada el 17/03/2022,"
                      
                          
                               1
                          
                      
                    ","
                        
                            
                                63
                            
                        
                    ","
                          $ 12 mil MN
                        ","
                    Ver propiedad
                  "
CAD Torre Latina - Oficina piso 6. Vistas al campo de golf y a la bahía de Santa Lucía con 5 cajones de estacionamiento Las áreas privativas son: Superficie de oficina 236.81 m² Superficie de áreas comunes 16.50 m² Super...,,12785,"
            3 años en Propiedades.com
            ","
                        Colonia Club Deportivo
                      ",Actualizada el 17/03/2022,"
                      
                          
                               N/D
                          
                      
                    ","
                        
                            
                                236
                            
                        
                    ","
                          $ 54.4 mil MN
                        ","
                    Ver propiedad
                  "
"SE RENTA ESPACIO PARA OFICINAS SE UBICA EN PRSEGUNDO  NIVEL.SE UBICA SOBRE LA CARRETERA CAYACO -PTO MARQUES A  LA  ALTURA DEL PUNTO CONOCIDO COMO LA ""LLANTERA "" FTE A LA CFE LLANO LARGO MUY CERCA  A LA PLAZA PATIO (ANTES...",,42005,"
            4 meses en Propiedades.com
            ","
                        Colonia Nuevo Cayaco
                      ",Actualizada el 17/03/2022,"
                      
                          
                               1
                          
                      
                    ","
                        
                            
                                40
                            
                        
                    ","
                          $ 4 mil MN
                        ","
                    Ver propiedad
                  "
SE RENTA ESPACIO PARA OFICINAS ( TODO UN NIVEL ) EL INMUEBLE ES MUY AMPLIO Y SE UBICA EN PRIMER NIVEL CONSTA DE 3 ESPACIOS PRIVADOS 2 BAÑOS COMPLETOS AREA DE ARCHIVERO AREA DE ESTANCIA - SALA.2 BALCONES .SE UBICA SOBRE L...,,44562,"
            4 meses en Propiedades.com
            ","
                        Colonia Nuevo Cayaco
                      ",Actualizada el 17/03/2022,"
                      
                          
                               2
                          
                      
                    ","
                        
                            
                                135
                            
                        
                    ","
                          $ 10 mil MN
                        ","
                    Ver propiedad
                  "
"Renta para Oficinas, giros contables o administrativas, con 4 habitaciones/ divisiones muy amplios con recepción o sala de espera Ubicada a una cuadra de la Costera A cuadra y media del Zocalo de Acapulco Con 4 divisione...",,44805,"
            2 años en Propiedades.com
            ","
                        Colonia Acapulco de Juárez Centro
                      ",Actualizada el 17/03/2022,"
                      
                          
                               2
                          
                      
                    ","
                        
                            
                                120
                            
                        
                    ","
                          $ 7 mil MN
                        ","
                    Ver propiedad
                  "
"Oficina en 1er piso, 32 M2, cuenta con recepción, privado, área de archivo, aire acondicionado. Incluye mantenimiento. A unos pasos de costera, vigilancia, circuito cerrado, zona dorada altamente comercial.",,44713,"
            2 años en Propiedades.com
            ","
                        Colonia Magallanes
                      ",Actualizada el 17/03/2022,"
                      
                          
                               N/D
                          
                      
                    ","
                        
                            
                                32
                            
                        
                    ","
                          $ 7.5 mil MN
                        ","
                    Ver propiedad
                  "
"SE RENTA AMPLIO ESPACIO PARA OFICINASE UBICA EN PRSEGUNDO  NIVELCUENTA CON DIVISION ( DIVIDIDO EN 2 PARTES )SE UBICA SOBRE LA CARRETERA CAYACO -PTO MARQUES A  LA  ALTURA DEL PUNTO CONOCIDO COMO LA ""LLANTERA "" FTE A LA CF...",,43101,"
            4 meses en Propiedades.com
            ","
                        Colonia Nuevo Cayaco
                      ",Actualizada el 17/03/2022,"
                      
                          
                               1
                          
                      
                    ","
                        
                            
                                55
                            
                        
                    ","
                          $ 6 mil MN
                        ","
                    Ver propiedad
                  "
EN RENTA ESPACIO  PARA OFICINA UBICADO EN COSTA AZUL  A 100 MTS DE LA  AV COSTERA MIGUEL ALEMAN EXCELENTE UBICACIONZONA RODEADA DE NEGOCIOS EDIFICIO PRIVADO SE UBICA EN LA CALLE CAPITAN F MAURY CASI ESQ CON AV COSTERA MI...,,44835,"
            1 año en Propiedades.com
            ","
                        Colonia Costa Azul
                      ",Actualizada el 17/03/2022,"
                      
                          
                               1
                          
                      
                    ","
                        
                            
                                12
                            
                        
                    ","
                          $ 7.5 mil MN
                        ","
                    Ver propiedad
                  "
"Oficina sobre Costera Miguel Alemán, a un costado del Centro de Convenciones, excelente ubicación primer y segundo piso se renta junto o por separado 100 metros cada piso",,42370,"
            4 meses en Propiedades.com
            ","
                        Costera Miguel Aleman
                      ",Actualizada el 17/03/2022,"
                      
                          
                               4
                          
                      
                    ","
                        
                            
                                200
                            
                        
                    ","
                          $ 13 mil MN
                        ","
                    Ver propiedad
                  "
"Despacho Aguas Blancas: Renta mensual $3,500.00 (Tres mil quinientos pesos 00/100 m.n.) más IVA. Área de Despacho: 70m2 * 5m de ancho por 14m de fondo * 2.70m de alto * Instalación eléctrica bifásica. * Uso de suelo (HM ...",,44562,"
            5 meses en Propiedades.com
            ","
                        Avenida Ejido esquina Cerrada de...
                      ",Actualizada el 17/03/2022,"
                      
                          
                               N/D
                          
                      
                    ","
                        
                            
                                70
                            
                        
                    ","
                          $ 3.5 mil MN
                        ","
                    Ver propiedad
                  "
"Renta de oficinas de diferentes medidas y precios, en Edificio muy bien ubicado en Costera Miguel Alemán, junto a notarias, bancos, etc. con elevador y seguridad. precios desde: $8,500.00 con 36.47 mtrs2. $19,600.00 con ...",,43466,"
            6 meses en Propiedades.com
            ","
                        COSTERA MIGUEL ALEMAN
                      ",Actualizada el 17/03/2022,"
                      
                          
                               N/D
                          
                      
                    ","
                        
                            
                                84.73
                            
                        
                    ","
                          $ 19.6 mil MN
                        ","
                    Ver propiedad
                  "
"Renta de oficinas de diferentes medidas y precios, en Edificio muy bien ubicado en Costera Miguel Alemán, junto a notarias, bancos, etc. con elevador y seguridad. Se renta un piso completo con 253.61 mtrs2 (8)",,44562,"
            6 meses en Propiedades.com
            ","
                        COSTERA MIGUEL ALEMAN
                      ",Actualizada el 17/03/2022,"
                      
                          
                               N/D
                          
                      
                    ","
                        
                            
                                253.61
                            
                        
                    ","
                          $ 58.4 mil MN
                        ","
                    Ver propiedad
                  "
"En renta oficina con excelente ubicación. La oficina cuenta con interfon, un baño para hombres y un baño para mujeres en el mismo nivel donde se encuentra la oficina. Dentro de las instalaciones del edificio cuenta con c...",,44621,"
            7 meses en Propiedades.com
            ","
                        cerro azul 93
                      ",Actualizada el 17/03/2022,"
                      
                          
                               2
                          
                      
                    ","
                        
                            
                                40
                            
                        
                    ","
                          $ 3.6 mil MN
                        ","
                    Ver propiedad
                  "
"Local comercial ideal para restaurante, escuela , oficina. cuenta con transformador de luz, estacionamientos. ubicado sobre la avenida principal de acapulco.",,45292,"
            3 años en Propiedades.com
            ","
                        Colonia Acapulco de Juárez Centro
                      ",Actualizada el 17/03/2022,"
                      
                          
                               N/D
                          
                      
                    ","
                        
                            
                                520
                            
                        
                    ","
                          $ 45 mil MN
                        ","
                    Ver propiedad
                  "
"En renta oficina con excelente ubicación. La oficina cuenta con interfon, así como 2 baños , un baño para hombres y otro baño para mujeres, ambos en el mismo nivel donde se encuentra la oficina. El edificio cuenta con cá...",,44593,"
            7 meses en Propiedades.com
            ","
                        cerro azul 93
                      ",Actualizada el 17/03/2022,"
                      
                          
                               2
                          
                      
                    ","
                        
                            
                                39
                            
                        
                    ","
                          $ 3 mil MN
                        ","
                    Ver propiedad
                  "
"OFECINA CON 4 CUARTOS CON BAÑOS,BAÑO DE VISITAS,COCINA,AIRE DE 180 M2 EN RENTA (8)",,45292,"
            1 año en Propiedades.com
            ","
                        ROCA SOLA
                      ",Actualizada el 17/03/2022,"
                      
                          
                               N/D
                          
                      
                    ","
                        
                            
                                180
                            
                        
                    ","
                          $ 28 mil MN
                        ","
                    Ver propiedad
                  "
Oficinas de 30m2 Incluye luz y agua (8),,41275,"
            1 año en Propiedades.com
            ","
                        Costa azul
                      ",Actualizada el 17/03/2022,"
                      
                          
                               N/D
                          
                      
                    ","
                        
                            
                                30
                            
                        
                    ","
                          $ 10 mil MN
                        ","
                    Ver propiedad
                  "
